individual	Panel	GroupK9	Country	Name	Variety name	Version	Duplicate
81	3k	XI-adm	China	IRIS_313-9570	NX 3533		
82	3k	XI-adm	India	IRIS_313-9609	ARC 10594		
83	3k	cA (Aus)	India	IRIS_313-9610	DANGAR		
84	3k	XI-adm	India	IRIS_313-9634	ARC 15873		
85	3k	cA (Aus)	Pakistan	IRIS_313-9695	SOLAY GHAT		
86	3k	admix	Afghanistan	IRIS_313-9783	BERENJ 1277 S		
87	3k	XI-1B	SriLanka	IRIS_313-9917	CHANDINA		
88	3k	GJ-trp	SriLanka	IRIS_313-9949	PANNITHI		
89	3k	XI-adm	SriLanka	IRIS_313-9969	PUTTU NELLU		
90	3k	GJ-trp	Japan	IRIS_313-10078	YOSHINO MOCHI		
91	3k	GJ-tmp	SouthKorea	IRIS_313-10097	MAEKJO		
92	3k	XI-adm	Myanmar	IRIS_313-10518	KHAYANGYA D 34-181		
93	3k	GJ-adm	China	IRIS_313-10562	SENG-CHUI-LIN		
94	3k	GJ-trp	Philippines	IRIS_313-10577	IFUGAO RICE		
95	3k	XI-adm	SriLanka	IRIS_313-10609	MATHOLUWA		
96	3k	XI-adm	HongKong	IRIS_313-10614	HAM MOON		
97	3k	XI-2	India	IRIS_313-10664	ARC 6052		
98	3k	XI-2	India	IRIS_313-10667	ARC 7236		
99	3k	XI-adm	India	IRIS_313-10668	ARC 7255		
100	3k	XI-adm	India	IRIS_313-10675	ARC 10905		
101	3k	cA (Aus)	SriLanka	IRIS_313-10718	KARUTHA SEENATI		
102	3k	admix	Indonesia	IRIS_313-10738	ANDEL WELUT		
103	3k	GJ-trp	Indonesia	IRIS_313-10744	SIPON		
104	3k	XI-adm	Vietnam	IRIS_313-10748	LUA DUC		
105	3k	XI-adm	Vietnam	IRIS_313-10751	LUA CHUM		
106	3k	XI-3	Vietnam	IRIS_313-10755	NEP BA BONG TO		
107	3k	XI-3	Indonesia	IRIS_313-10762	BANDI		
108	3k	XI-3	Indonesia	IRIS_313-10779	KERAN DUKUH		
109	3k	XI-3	Indonesia	IRIS_313-10786	KETAN URANG		
110	3k	XI-3	Indonesia	IRIS_313-10787	KWATIK PUTIH		
111	3k	GJ-trp	Indonesia	IRIS_313-10793	MELIK		
112	3k	XI-3	Indonesia	IRIS_313-10822	UNGGAS		
113	3k	admix	India	IRIS_313-10850	ARC 7263		
114	3k	cB (Bas)	India	IRIS_313-10851	ARC 7296		
115	3k	cA (Aus)	India	IRIS_313-10852	ARC 7336		
116	3k	XI-2	India	IRIS_313-10855	ARC 10159		
117	3k	admix	India	IRIS_313-10856	ARC 10537		
118	3k	admix	India	IRIS_313-10857	ARC 10825		
119	3k	XI-adm	India	IRIS_313-10858	ARC 10894		
120	3k	XI-adm	India	IRIS_313-10859	ARC 10939		
121	3k	admix	India	IRIS_313-10864	ARC 11338		
122	3k	GJ-adm	India	IRIS_313-10872	ARC 11802		
123	3k	cA (Aus)	India	IRIS_313-10873	ARC 11822		
124	3k	admix	India	IRIS_313-10879	ARC 12124		
125	3k	admix	India	IRIS_313-10881	ARC 12413		
126	3k	admix	India	IRIS_313-10883	ARC 12490		
127	3k	cA (Aus)	India	IRIS_313-10891	ARC 12867		
128	3k	admix	India	IRIS_313-10894	ARC 13204		
129	3k	GJ-trp	Philippines	IRIS_313-10918	T.Q.QI. QINYUHAYUHA		
130	3k	cA (Aus)	Nepal	IRIS_313-10925	KAMULI		
131	3k	XI-3	Indonesia	IRIS_313-10944	SIPULUT SUBANG		
132	3k	admix	Bangladesh	IRIS_313-10980	DUDHSAR		
133	3k	XI-2	Bangladesh	IRIS_313-10986	HALDI JAON		
134	3k	cA (Aus)	Bangladesh	IRIS_313-10987	SUNGA WALA		
135	3k	GJ-trp	Philippines	IRIS_313-10994	PANGETAN		
136	3k	XI-3	Indonesia	IRIS_313-10995	ASE BAKKA LOMPO		
137	3k	cA (Aus)	Pakistan	IRIS_313-11020	BAMLA SUFFAID 320		
138	3k	cA (Aus)	Pakistan	IRIS_313-11027	JHONA 101		
139	3k	cA (Aus)	Pakistan	IRIS_313-11031	NAWAN SATHRA BAGAR 344		
140	3k	cB (Bas)	Pakistan	IRIS_313-11032	PALAM PURI BAS 137		
141	3k	GJ-trp	Malaysia	IRIS_313-11046	LALANGIT		
142	3k	cA (Aus)	Bangladesh	IRIS_313-11058	AUS 329		
143	3k	cB (Bas)	Bangladesh	IRIS_313-11062	BEGUNBICHI 33		
144	3k	cA (Aus)	Bangladesh	IRIS_313-11064	BORO 275		
145	3k	XI-3	Laos	IRIS_313-11083	Ea tia		
146	3k	XI-3	Cambodia	IRIS_313-11089	SRAU THMOR		
147	3k	GJ-sbtrp	Laos	IRIS_313-11094	MAK BOUAP		
148	3k	XI-3	Laos	IRIS_313-11095	Mak ea nam		
149	3k	XI-adm	Philippines	IRIS_313-11097	KALAGNON		
150	3k	XI-2	Bangladesh	IRIS_313-11113	KAL SHULI		
151	3k	admix	Myanmar	IRIS_313-11136	NGAKWE THETYIN		
152	3k	cA (Aus)	SriLanka	IRIS_313-11191	RANRUWAN		
153	3k	XI-adm	Bangladesh	IRIS_313-11204	KARTIKHAMA		
154	3k	XI-2	Bangladesh	IRIS_313-11205	KAZALSAIL		
155	3k	XI-adm	Bangladesh	IRIS_313-11206	KUMRI		
156	3k	cB (Bas)	Bangladesh	IRIS_313-11218	BADSHABHOG 4-60		
157	3k	cB (Bas)	Bangladesh	IRIS_313-11223	OVAL RED 29B-601		
158	3k	XI-adm	Philippines	IRIS_313-11234	LIGUNGTUNG		
159	3k	XI-adm	India	IRIS_313-11257	ARC 12757		
160	3k	cB (Bas)	India	IRIS_313-11258	ARC 13502		
161	3k	XI-adm	India	IRIS_313-11260	ARC 13591		
162	3k	XI-adm	India	IRIS_313-11263	ARC 13919		
163	3k	XI-2	India	IRIS_313-11267	ARC 14358(GOLD HULL)		
164	3k	XI-adm	India	IRIS_313-11269	ARC 14632		
165	3k	cB (Bas)	India	IRIS_313-11270	ARC 14663		
166	3k	cA (Aus)	India	IRIS_313-11274	ARC 14901		
167	3k	XI-adm	India	IRIS_313-11275	ARC 14975		
168	3k	XI-adm	India	IRIS_313-11278	ARC 15319		
169	3k	XI-adm	India	IRIS_313-11279	ARC 15455		
170	3k	XI-2	India	IRIS_313-11282	ARC 15589		
171	3k	XI-adm	India	IRIS_313-11284	ARC 18001		
172	3k	XI-2	India	IRIS_313-11285	ARC 18064		
173	3k	XI-adm	India	IRIS_313-11286	ARC 18325		
174	3k	XI-adm	India	IRIS_313-11288	ARC 18434		
175	3k	XI-adm	India	IRIS_313-11292	ARC 10120		
176	3k	admix	India	IRIS_313-11295	ARC 11397		
177	3k	XI-adm	India	IRIS_313-11296	ARC 12800		
178	3k	admix	India	IRIS_313-11297	ARC 13460		
179	3k	XI-2	India	IRIS_313-11300	ARC 14709		
180	3k	XI-2	India	IRIS_313-11301	ARC 14868		
181	3k	XI-adm	India	IRIS_313-11302	ARC 14899		
182	3k	XI-adm	India	IRIS_313-11305	ARC 15373		
183	3k	XI-adm	India	IRIS_313-11307	ARC 15387		
184	3k	XI-2	India	IRIS_313-11310	ARC 15929		
185	3k	XI-3	Indonesia	IRIS_313-11318	TUBU		
186	3k	cA (Aus)	Bangladesh	IRIS_313-11323	JHORA		
187	3k	XI-adm	Philippines	IRIS_313-11345	WAGWAG		
188	3k	cB (Bas)	India	IRIS_313-11352	BUCHI		
189	3k	XI-adm	SriLanka	IRIS_313-11382	HONDERAWALA		
190	3k	XI-2	India	IRIS_313-11407	BATCHA BHOG(SCENTED)		
191	3k	cA (Aus)	India	IRIS_313-11452	LOCAL BHAT		
192	3k	XI-2	India	IRIS_313-11461	VAIKATHARYAN		
193	3k	cA (Aus)	Bangladesh	IRIS_313-11484	EJALI		
194	3k	XI-adm	Vietnam	IRIS_313-11521	TAN NONG		
195	3k	admix	Myanmar	IRIS_313-11542	KHAO KUM PAR		
196	3k	XI-2	Nepal	IRIS_313-11561	BANGLA		
197	3k	XI-2	Nepal	IRIS_313-11565	KUSUM KATIKI		
198	3k	admix	Malaysia	IRIS_313-11591	PULUT MERAH 2		
199	3k	cA (Aus)	India	IRIS_313-11617	UPRH33		
200	3k	cA (Aus)	India	IRIS_313-11618	UPRH58		
201	3k	cB (Bas)	Nepal	IRIS_313-11625	CHOBO		
202	3k	XI-2	India	IRIS_313-11638	NCS331		
203	3k	XI-1B	India	IRIS_313-11643	NCS603 B		
204	3k	XI-2	India	IRIS_313-11644	NCS745		
205	3k	XI-2	India	IRIS_313-11645	NCS766		
206	3k	XI-2	India	IRIS_313-11646	NCS771 A		
207	3k	XI-adm	China	IRIS_313-11664	CUN GU NUO		
208	3k	XI-2	Nepal	IRIS_313-11671	DERAWA		
209	3k	XI-3	Thailand	IRIS_313-11674	BEUA KAE		
210	3k	XI-3	Thailand	IRIS_313-11681	KHAO' PAWM		
211	3k	XI-3	Thailand	IRIS_313-11685	PLAWNG SAENG		
212	3k	admix	Bhutan	IRIS_313-11690	KOCHUM		
213	3k	GJ-sbtrp	Bhutan	IRIS_313-11691	SHANGYIPA		
214	3k	XI-adm	Taiwan	IRIS_313-11693	CHING-CH'UNG		
215	3k	XI-adm	Indonesia	IRIS_313-11717	JATI MANI		
216	3k	XI-adm	Bangladesh	IRIS_313-11722	KABERI		
217	3k	XI-3	China	IRIS_313-11728	LUO SI ZHAN		
218	3k	XI-adm	China	IRIS_313-11730	QING ER XIAO 2		
219	3k	XI-adm	China	IRIS_313-11731	QING TAI AI		
220	3k	GJ-trp	Philippines	IRIS_313-11736	MALAGKIT(PINELIPE)		
221	3k	cA (Aus)	India	IRIS_313-11737	CHUNDI		
222	3k	XI-2	SriLanka	IRIS_313-11741	HERATH BANDA		
223	3k	cA (Aus)	India	IRIS_313-11742	KALIBAJARI		
224	3k	XI-adm	China	IRIS_313-11748	GAO JIAO YING GAN ZHAN		
225	3k	XI-adm	China	IRIS_313-11751	L 10833		
226	3k	GJ-adm	Philippines	IRIS_313-11788	CANLUBANG		
227	3k	XI-1A	China	IRIS_313-11796	DU GEN CHUAN		
228	3k	XI-1B	China	IRIS_313-11798	E ZI 100		
229	3k	XI-adm	China	IRIS_313-11801	FAN WU		
230	3k	XI-1A	China	IRIS_313-11802	JIE CAO ZHAN		
231	3k	XI-1A	China	IRIS_313-11805	XI HONG GU		
232	3k	XI-adm	Myanmar	IRIS_313-11816	KARILETYONE		
233	3k	XI-adm	Myanmar	IRIS_313-11817	KHAOSAING		
234	3k	XI-3	Myanmar	IRIS_313-11819	PADINTHUMA		
235	3k	cB (Bas)	India	IRIS_313-11825	HANSRAJ		
236	3k	GJ-tmp	Pakistan	IRIS_313-11829	MUNJI		
237	3k	XI-1A	China	IRIS_313-11867	KE SHU BAI		
238	3k	XI-1A	China	IRIS_313-11878	BAI RI XIAN		
239	3k	GJ-sbtrp	Thailand	IRIS_313-11924	NAM JAM		
240	3k	XI-2	Bangladesh	IRIS_313-11945	MALIKULI		
241	3k	XI-1A	China	IRIS_313-11949	LIU HE XI HE		
242	3k	XI-1A	China	IRIS_313-11953	SAN BAO GU		
243	3k	XI-3	Philippines	IRIS_313-11959	KAGIOS PUTI		
244	3k	XI-3	BruneiDarussalam	IRIS_313-11989	TAMBAS JANGKOK		
245	3k	XI-3	Cambodia	IRIS_313-12044	SAR SIEM		
246	3k	XI-adm	India	IRIS_313-12052	ADUKKAN		
247	3k	cB (Bas)	Myanmar	IRIS_313-12074	KYAIN WAR ME DONE		
248	3k	cB (Bas)	Bangladesh	IRIS_313-12094	KASHA		
249	3k	XI-3	Laos	IRIS_313-12128	Hma gneng		
250	3k	XI-adm	Cambodia	IRIS_313-12146	AM BEUS		
251	3k	XI-adm	Myanmar	IRIS_313-12268	MAYATAUNG		
252	3k	XI-adm	Myanmar	IRIS_313-12269	SHWEWARHNAN		
253	3k	XI-3	Myanmar	IRIS_313-12288	NGWE-TOE-KYE		
